tara	tara
ts	TypeScript
tsx	TypeScript
es	JavaScript
frag	JavaScript
gs	JavaScript
js	JavaScript
_js	JavaScript
bones	JavaScript
es6	JavaScript
jake	JavaScript
jsb	JavaScript
jscad	JavaScript
jsfl	JavaScript
jsm	JavaScript
jss	JavaScript
njs	JavaScript
pac	JavaScript
sjs	JavaScript
ssjs	JavaScript
xsjs	JavaScript
xsjslib	JavaScript
css	CSS
mss	CSS
scss	SCSS
less	LESS
json	JSON
geojson	JSON
lock	JSON
topojson	JSON
json5	JSON
jsonld	JSON
html	HTML
htm	HTML
html.hl	HTML
xht	HTML
xhtml	HTML
mod	XML
gml	XML
mm	XML
pluginspec	XML
xml	XML
ant	XML
axml	XML
ccxml	XML
clixml	XML
cproject	XML
csl	XML
csproj	XML
ct	XML
dita	XML
ditamap	XML
ditaval	XML
dotsettings	XML
filters	XML
fsproj	XML
fxml	XML
glade	XML
grxml	XML
iml	XML
ivy	XML
jelly	XML
jsproj	XML
kml	XML
launch	XML
mdpolicy	XML
mxml	XML
nproj	XML
nuspec	XML
odd	XML
osm	XML
plist	XML
props	XML
ps1xml	XML
psc1	XML
pt	XML
rdf	XML
rss	XML
scxml	XML
srdf	XML
storyboard	XML
stTheme	XML
targets	XML
tmCommand	XML
tml	XML
tmLanguage	XML
tmPreferences	XML
tmSnippet	XML
tmTheme	XML
ui	XML
urdf	XML
ux	XML
vbproj	XML
vcxproj	XML
vssettings	XML
vxml	XML
wsdl	XML
wsf	XML
wxi	XML
wxl	XML
wxs	XML
x3d	XML
xacro	XML
xaml	XML
xib	XML
xlf	XML
xliff	XML
xmi	XML
xproj	XML
xsd	XML
xul	XML
zcml	XML
php	PHP
aw	PHP
ctp	PHP
php3	PHP
php4	PHP
php5	PHP
phps	PHP
phpt	PHP
cshtml	C#
csx	C#
cpp	C++
c++	C++
cc	C++
cxx	C++
h++	C++
hpp	C++
hxx	C++
inl	C++
ipp	C++
tcc	C++
tpp	C++
md	Markdown
markdown	Markdown
mkd	Markdown
mkdn	Markdown
mkdown	Markdown
ron	Markdown
diff	Diff
patch	Diff
java	Java
jsp	Java
cls	VB
vb	VB
bas	VB
frm	VB
frx	VB
vba	VB
vbhtml	VB
vbs	VB
cake	CoffeeScript
coffee	CoffeeScript
_coffee	CoffeeScript
cjsx	CoffeeScript
cson	CoffeeScript
iced	CoffeeScript
handlebars	Handlebars
hbs	Handlebars
bat	Batch
cmd	Batch
fsi	F#
fsx	F#
lua	Lua
nse	Lua
pd_lua	Lua
rbxs	Lua
wlua	Lua
ps1	PowerShell
psd1	PowerShell
psm1	PowerShell
py	Python
bzl	Python
gyp	Python
lmi	Python
pyde	Python
pyp	Python
pyt	Python
pyw	Python
tac	Python
wsgi	Python
xpy	Python
rb	Ruby
builder	Ruby
gemspec	Ruby
god	Ruby
irbrc	Ruby
jbuilder	Ruby
mspec	Ruby
podspec	Ruby
rabl	Ruby
rake	Ruby
rbuild	Ruby
rbw	Ruby
rbx	Ruby
ru	Ruby
ruby	Ruby
thor	Ruby
watchr	Ruby
sass	Sass
rd	R
rsx	R
h	Objective-C
m	Objective-C